"","Month","Title","Employed"
"392",1971 Aug,"Total Private",58868
"393",1971 Sep,"Total Private",59100
"394",1971 Oct,"Total Private",58995
"395",1971 Nov,"Total Private",59173
"396",1971 Dec,"Total Private",59499
"397",1972 Jan,"Total Private",58149
"398",1972 Feb,"Total Private",58180
"399",1972 Mar,"Total Private",58710
"400",1972 Apr,"Total Private",59343
"401",1972 May,"Total Private",59927
"402",1972 Jun,"Total Private",60998
"403",1972 Jul,"Total Private",60540
"404",1972 Aug,"Total Private",61172
"405",1972 Sep,"Total Private",61288
"406",1972 Oct,"Total Private",61611
"407",1972 Nov,"Total Private",61887
"408",1972 Dec,"Total Private",62194
"409",1973 Jan,"Total Private",60862
"410",1973 Feb,"Total Private",61078
"411",1973 Mar,"Total Private",61560
"412",1973 Apr,"Total Private",62146
"413",1973 May,"Total Private",62699
"414",1973 Jun,"Total Private",63650
"415",1973 Jul,"Total Private",63378
"416",1973 Aug,"Total Private",63870
"417",1973 Sep,"Total Private",64050
"418",1973 Oct,"Total Private",64253
"419",1973 Nov,"Total Private",64484
"420",1973 Dec,"Total Private",64564
"421",1974 Jan,"Total Private",62905
"422",1974 Feb,"Total Private",62822
"423",1974 Mar,"Total Private",63080
"424",1974 Apr,"Total Private",63623
"425",1974 May,"Total Private",64210
"426",1974 Jun,"Total Private",64989
"427",1974 Jul,"Total Private",64717
"428",1974 Aug,"Total Private",64952
"429",1974 Sep,"Total Private",64930
"430",1974 Oct,"Total Private",64814
"431",1974 Nov,"Total Private",64331
"432",1974 Dec,"Total Private",63653
"433",1975 Jan,"Total Private",61525
"434",1975 Feb,"Total Private",60809
"435",1975 Mar,"Total Private",60788
"436",1975 Apr,"Total Private",61114
"437",1975 May,"Total Private",61724
"438",1975 Jun,"Total Private",62369
"439",1975 Jul,"Total Private",62321
"440",1975 Aug,"Total Private",62971
"441",1975 Sep,"Total Private",63178
"442",1975 Oct,"Total Private",63293
"443",1975 Nov,"Total Private",63330
"444",1975 Dec,"Total Private",63575
"445",1976 Jan,"Total Private",62377
"446",1976 Feb,"Total Private",62420
"447",1976 Mar,"Total Private",62957
"448",1976 Apr,"Total Private",63817
"449",1976 May,"Total Private",64326
"450",1976 Jun,"Total Private",65076
"451",1976 Jul,"Total Private",64992
"452",1976 Aug,"Total Private",65375
"453",1976 Sep,"Total Private",65671
"454",1976 Oct,"Total Private",65474
"455",1976 Nov,"Total Private",65674
"456",1976 Dec,"Total Private",65857
"457",1977 Jan,"Total Private",64471
"458",1977 Feb,"Total Private",64495
"459",1977 Mar,"Total Private",65284
"460",1977 Apr,"Total Private",66219
"461",1977 May,"Total Private",66989
"462",1977 Jun,"Total Private",67988
"463",1977 Jul,"Total Private",67980
"464",1977 Aug,"Total Private",68381
"465",1977 Sep,"Total Private",68814
"466",1977 Oct,"Total Private",68871
"467",1977 Nov,"Total Private",69145
"468",1977 Dec,"Total Private",69375
"469",1978 Jan,"Total Private",67831
"470",1978 Feb,"Total Private",67866
"471",1978 Mar,"Total Private",68719
"472",1978 Apr,"Total Private",69970
"473",1978 May,"Total Private",70718
"474",1978 Jun,"Total Private",71809
"475",1978 Jul,"Total Private",71727
"476",1978 Aug,"Total Private",72187
"477",1978 Sep,"Total Private",72430
"478",1978 Oct,"Total Private",72609
"479",1978 Nov,"Total Private",72998
"480",1978 Dec,"Total Private",73309
"481",1979 Jan,"Total Private",71724
"482",1979 Feb,"Total Private",71731
"483",1979 Mar,"Total Private",72540
"484",1979 Apr,"Total Private",73047
"485",1979 May,"Total Private",73824
"486",1979 Jun,"Total Private",74746
"487",1979 Jul,"Total Private",74469
"488",1979 Aug,"Total Private",74652
"489",1979 Sep,"Total Private",74824
"490",1979 Oct,"Total Private",74874
"491",1979 Nov,"Total Private",74906
"492",1979 Dec,"Total Private",75046
"493",1980 Jan,"Total Private",73443
"494",1980 Feb,"Total Private",73310
"495",1980 Mar,"Total Private",73711
"496",1980 Apr,"Total Private",73858
"497",1980 May,"Total Private",73975
"498",1980 Jun,"Total Private",74299
"499",1980 Jul,"Total Private",73827
"500",1980 Aug,"Total Private",74297
"501",1980 Sep,"Total Private",74555
"502",1980 Oct,"Total Private",74662
"503",1980 Nov,"Total Private",74867
"504",1980 Dec,"Total Private",75091
"505",1981 Jan,"Total Private",73487
"506",1981 Feb,"Total Private",73393
"507",1981 Mar,"Total Private",73894
"508",1981 Apr,"Total Private",74585
"509",1981 May,"Total Private",75115
"510",1981 Jun,"Total Private",75977
"511",1981 Jul,"Total Private",75883
"512",1981 Aug,"Total Private",76124
"513",1981 Sep,"Total Private",76188
"514",1981 Oct,"Total Private",75892
"515",1981 Nov,"Total Private",75584
"516",1981 Dec,"Total Private",75277
"517",1982 Jan,"Total Private",73292
"518",1982 Feb,"Total Private",73154
"519",1982 Mar,"Total Private",73351
"520",1982 Apr,"Total Private",73675
"521",1982 May,"Total Private",74143
"522",1982 Jun,"Total Private",74518
"523",1982 Jul,"Total Private",74155
"524",1982 Aug,"Total Private",74153
"525",1982 Sep,"Total Private",74034
"526",1982 Oct,"Total Private",73527
"527",1982 Nov,"Total Private",73273
"528",1982 Dec,"Total Private",73198
"529",1983 Jan,"Total Private",71708
"530",1983 Feb,"Total Private",71477
"531",1983 Mar,"Total Private",72004
"532",1983 Apr,"Total Private",72895
"533",1983 May,"Total Private",73691
"534",1983 Jun,"Total Private",74713
"535",1983 Jul,"Total Private",75000
"536",1983 Aug,"Total Private",74874
"537",1983 Sep,"Total Private",75980
"538",1983 Oct,"Total Private",76107
"539",1983 Nov,"Total Private",76331
"540",1983 Dec,"Total Private",76627
"541",1984 Jan,"Total Private",75370
"542",1984 Feb,"Total Private",75652
"543",1984 Mar,"Total Private",76300
"544",1984 Apr,"Total Private",77238
"545",1984 May,"Total Private",78067
"546",1984 Jun,"Total Private",79088
"547",1984 Jul,"Total Private",79205
"548",1984 Aug,"Total Private",79583
"549",1984 Sep,"Total Private",79835
"550",1984 Oct,"Total Private",79923
"551",1984 Nov,"Total Private",80135
"552",1984 Dec,"Total Private",80270
"553",1985 Jan,"Total Private",78724
"554",1985 Feb,"Total Private",78642
"555",1985 Mar,"Total Private",79331
"556",1985 Apr,"Total Private",80138
"557",1985 May,"Total Private",80931
"558",1985 Jun,"Total Private",81705
"559",1985 Jul,"Total Private",81608
"560",1985 Aug,"Total Private",82011
"561",1985 Sep,"Total Private",82108
"562",1985 Oct,"Total Private",82144
"563",1985 Nov,"Total Private",82249
"564",1985 Dec,"Total Private",82404
"565",1986 Jan,"Total Private",80695
"566",1986 Feb,"Total Private",80562
"567",1986 Mar,"Total Private",81050
"568",1986 Apr,"Total Private",81891
"569",1986 May,"Total Private",82551
"570",1986 Jun,"Total Private",83127
"571",1986 Jul,"Total Private",83280
"572",1986 Aug,"Total Private",83596
"573",1986 Sep,"Total Private",83675
"574",1986 Oct,"Total Private",83706
"575",1986 Nov,"Total Private",83796
"576",1986 Dec,"Total Private",84007
"577",1987 Jan,"Total Private",82305
"578",1987 Feb,"Total Private",82353
"579",1987 Mar,"Total Private",82961
"580",1987 Apr,"Total Private",83930
"581",1987 May,"Total Private",84690
"582",1987 Jun,"Total Private",85549
"583",1987 Jul,"Total Private",85695
"584",1987 Aug,"Total Private",86087
"585",1987 Sep,"Total Private",86119
"586",1987 Oct,"Total Private",86403
"587",1987 Nov,"Total Private",86584
"588",1987 Dec,"Total Private",86846
"589",1988 Jan,"Total Private",85039
"590",1988 Feb,"Total Private",85291
"591",1988 Mar,"Total Private",85894
"592",1988 Apr,"Total Private",86798
"593",1988 May,"Total Private",87518
"594",1988 Jun,"Total Private",88617
"595",1988 Jul,"Total Private",88704
"596",1988 Aug,"Total Private",89004
"597",1988 Sep,"Total Private",88975
"598",1988 Oct,"Total Private",89119
"599",1988 Nov,"Total Private",89397
"600",1988 Dec,"Total Private",89703
"601",1989 Jan,"Total Private",88003
"602",1989 Feb,"Total Private",88081
"603",1989 Mar,"Total Private",88631
"604",1989 Apr,"Total Private",89427
"605",1989 May,"Total Private",90054
"606",1989 Jun,"Total Private",90939
"607",1989 Jul,"Total Private",90843
"608",1989 Aug,"Total Private",91042
"609",1989 Sep,"Total Private",90963
"610",1989 Oct,"Total Private",90958
"611",1989 Nov,"Total Private",91240
"612",1989 Dec,"Total Private",91302
"613",1990 Jan,"Total Private",89455
"614",1990 Feb,"Total Private",89598
"615",1990 Mar,"Total Private",90053
"616",1990 Apr,"Total Private",90634
"617",1990 May,"Total Private",91308
"618",1990 Jun,"Total Private",92209
"619",1990 Jul,"Total Private",92008
"620",1990 Aug,"Total Private",92152
"621",1990 Sep,"Total Private",91853
"622",1990 Oct,"Total Private",91544
"623",1990 Nov,"Total Private",91346
"624",1990 Dec,"Total Private",91189
"625",1991 Jan,"Total Private",88987
"626",1991 Feb,"Total Private",88617
"627",1991 Mar,"Total Private",88819
"628",1991 Apr,"Total Private",89229
"629",1991 May,"Total Private",89866
"630",1991 Jun,"Total Private",90616
"631",1991 Jul,"Total Private",90438
"632",1991 Aug,"Total Private",90720
"633",1991 Sep,"Total Private",90543
"634",1991 Oct,"Total Private",90364
"635",1991 Nov,"Total Private",90222
"636",1991 Dec,"Total Private",90152
"637",1992 Jan,"Total Private",88085
"638",1992 Feb,"Total Private",88011
"639",1992 Mar,"Total Private",88407
"640",1992 Apr,"Total Private",89240
"641",1992 May,"Total Private",90020
"642",1992 Jun,"Total Private",90808
"643",1992 Jul,"Total Private",90778
"644",1992 Aug,"Total Private",90965
"645",1992 Sep,"Total Private",90864
"646",1992 Oct,"Total Private",90949
"647",1992 Nov,"Total Private",90987
"648",1992 Dec,"Total Private",91071
"649",1993 Jan,"Total Private",89264
"650",1993 Feb,"Total Private",89523
"651",1993 Mar,"Total Private",89855
"652",1993 Apr,"Total Private",90852
"653",1993 May,"Total Private",91775
"654",1993 Jun,"Total Private",92655
"655",1993 Jul,"Total Private",92819
"656",1993 Aug,"Total Private",93108
"657",1993 Sep,"Total Private",93110
"658",1993 Oct,"Total Private",93277
"659",1993 Nov,"Total Private",93467
"660",1993 Dec,"Total Private",93651
"661",1994 Jan,"Total Private",91752
"662",1994 Feb,"Total Private",91988
"663",1994 Mar,"Total Private",92823
"664",1994 Apr,"Total Private",93891
"665",1994 May,"Total Private",94840
"666",1994 Jun,"Total Private",95938
"667",1994 Jul,"Total Private",96106
"668",1994 Aug,"Total Private",96531
"669",1994 Sep,"Total Private",96584
"670",1994 Oct,"Total Private",96700
"671",1994 Nov,"Total Private",97079
"672",1994 Dec,"Total Private",97252
"673",1995 Jan,"Total Private",95333
"674",1995 Feb,"Total Private",95615
"675",1995 Mar,"Total Private",96263
"676",1995 Apr,"Total Private",97097
"677",1995 May,"Total Private",97831
"678",1995 Jun,"Total Private",98845
"679",1995 Jul,"Total Private",98757
"680",1995 Aug,"Total Private",99150
"681",1995 Sep,"Total Private",99078
"682",1995 Oct,"Total Private",99145
"683",1995 Nov,"Total Private",99267
"684",1995 Dec,"Total Private",99316
"685",1996 Jan,"Total Private",97054
"686",1996 Feb,"Total Private",97585
"687",1996 Mar,"Total Private",98257
"688",1996 Apr,"Total Private",99120
"689",1996 May,"Total Private",100196
"690",1996 Jun,"Total Private",101214
"691",1996 Jul,"Total Private",101309
"692",1996 Aug,"Total Private",101695
"693",1996 Sep,"Total Private",101459
"694",1996 Oct,"Total Private",101683
"695",1996 Nov,"Total Private",101954
"696",1996 Dec,"Total Private",102038
"697",1997 Jan,"Total Private",99915
"698",1997 Feb,"Total Private",100401
"699",1997 Mar,"Total Private",101173
"700",1997 Apr,"Total Private",102161
"701",1997 May,"Total Private",103203
"702",1997 Jun,"Total Private",104156
"703",1997 Jul,"Total Private",104296
"704",1997 Aug,"Total Private",104475
"705",1997 Sep,"Total Private",104496
"706",1997 Oct,"Total Private",104828
"707",1997 Nov,"Total Private",105073
"708",1997 Dec,"Total Private",105267
"709",1998 Jan,"Total Private",103161
"710",1998 Feb,"Total Private",103549
"711",1998 Mar,"Total Private",104166
"712",1998 Apr,"Total Private",105208
"713",1998 May,"Total Private",106204
"714",1998 Jun,"Total Private",107205
"715",1998 Jul,"Total Private",107210
"716",1998 Aug,"Total Private",107533
"717",1998 Sep,"Total Private",107337
"718",1998 Oct,"Total Private",107589
"719",1998 Nov,"Total Private",107796
"720",1998 Dec,"Total Private",108012
"721",1999 Jan,"Total Private",105713
"722",1999 Feb,"Total Private",106267
"723",1999 Mar,"Total Private",106854
"724",1999 Apr,"Total Private",107956
"725",1999 May,"Total Private",108801
"726",1999 Jun,"Total Private",109840
"727",1999 Jul,"Total Private",110034
"728",1999 Aug,"Total Private",110162
"729",1999 Sep,"Total Private",109914
"730",1999 Oct,"Total Private",110303
"731",1999 Nov,"Total Private",110597
"732",1999 Dec,"Total Private",110751
"733",2000 Jan,"Total Private",108514
"734",2000 Feb,"Total Private",108786
"735",2000 Mar,"Total Private",109644
"736",2000 Apr,"Total Private",110571
"737",2000 May,"Total Private",111175
"738",2000 Jun,"Total Private",112314
"739",2000 Jul,"Total Private",112263
"740",2000 Aug,"Total Private",112377
"741",2000 Sep,"Total Private",112141
"742",2000 Oct,"Total Private",112213
