"","Month","ATC2","Cost","Concession","Type","ATC1"
"215",1992 May,"H02",24277,"Concessional","Safety net","H"
"216",1992 Jun,"H02",46470,"Concessional","Safety net","H"
"217",1992 Jul,"H02",89149.43,"Concessional","Safety net","H"
"218",1992 Aug,"H02",120466.75,"Concessional","Safety net","H"
"219",1992 Sep,"H02",155898.3,"Concessional","Safety net","H"
"220",1992 Oct,"H02",193782.79,"Concessional","Safety net","H"
"221",1992 Nov,"H02",224702.22,"Concessional","Safety net","H"
"222",1992 Dec,"H02",316023.49,"Concessional","Safety net","H"
"223",1993 Jan,"H02",336537.96,"Concessional","Safety net","H"
"224",1993 Feb,"H02",40682.24,"Concessional","Safety net","H"
"225",1993 Mar,"H02",4672.18,"Concessional","Safety net","H"
"226",1993 Apr,"H02",8865.72,"Concessional","Safety net","H"
"227",1993 May,"H02",22630.55,"Concessional","Safety net","H"
"228",1993 Jun,"H02",48128.03,"Concessional","Safety net","H"
"229",1993 Jul,"H02",85127.5,"Concessional","Safety net","H"
"230",1993 Aug,"H02",130207.59,"Concessional","Safety net","H"
"231",1993 Sep,"H02",173168.94,"Concessional","Safety net","H"
"232",1993 Oct,"H02",207000.2,"Concessional","Safety net","H"
"233",1993 Nov,"H02",253321.71,"Concessional","Safety net","H"
"234",1993 Dec,"H02",394028.65,"Concessional","Safety net","H"
"235",1994 Jan,"H02",368896.12,"Concessional","Safety net","H"
"236",1994 Feb,"H02",39630.01,"Concessional","Safety net","H"
"237",1994 Mar,"H02",5789.28,"Concessional","Safety net","H"
"238",1994 Apr,"H02",8377.66,"Concessional","Safety net","H"
"239",1994 May,"H02",24099.84,"Concessional","Safety net","H"
"240",1994 Jun,"H02",55547.17,"Concessional","Safety net","H"
"241",1994 Jul,"H02",91430.09,"Concessional","Safety net","H"
"242",1994 Aug,"H02",154257.52,"Concessional","Safety net","H"
"243",1994 Sep,"H02",192876.67,"Concessional","Safety net","H"
"244",1994 Oct,"H02",237844.55,"Concessional","Safety net","H"
"245",1994 Nov,"H02",289627.01,"Concessional","Safety net","H"
"246",1994 Dec,"H02",335743.71,"Concessional","Safety net","H"
"247",1995 Jan,"H02",363166.32,"Concessional","Safety net","H"
"248",1995 Feb,"H02",26945.9,"Concessional","Safety net","H"
"249",1995 Mar,"H02",3798.19,"Concessional","Safety net","H"
"250",1995 Apr,"H02",8839.81,"Concessional","Safety net","H"
"251",1995 May,"H02",29554.01,"Concessional","Safety net","H"
"252",1995 Jun,"H02",63186.56,"Concessional","Safety net","H"
"253",1995 Jul,"H02",109183.01,"Concessional","Safety net","H"
"254",1995 Aug,"H02",177949.78,"Concessional","Safety net","H"
"255",1995 Sep,"H02",213606.86,"Concessional","Safety net","H"
"256",1995 Oct,"H02",280820.24,"Concessional","Safety net","H"
"257",1995 Nov,"H02",313389.25,"Concessional","Safety net","H"
"258",1995 Dec,"H02",390607.69,"Concessional","Safety net","H"
"259",1996 Jan,"H02",428123.13,"Concessional","Safety net","H"
"260",1996 Feb,"H02",26126.52,"Concessional","Safety net","H"
"261",1996 Mar,"H02",4028.19,"Concessional","Safety net","H"
"262",1996 Apr,"H02",10226.56,"Concessional","Safety net","H"
"263",1996 May,"H02",35106.04,"Concessional","Safety net","H"
"264",1996 Jun,"H02",68086.85,"Concessional","Safety net","H"
"265",1996 Jul,"H02",132094.17,"Concessional","Safety net","H"
"266",1996 Aug,"H02",184506.21,"Concessional","Safety net","H"
"267",1996 Sep,"H02",233190.94,"Concessional","Safety net","H"
"268",1996 Oct,"H02",297171.97,"Concessional","Safety net","H"
"269",1996 Nov,"H02",321729.52,"Concessional","Safety net","H"
"270",1996 Dec,"H02",439000.2,"Concessional","Safety net","H"
"271",1997 Jan,"H02",417208.86,"Concessional","Safety net","H"
"272",1997 Feb,"H02",26175.37,"Concessional","Safety net","H"
"273",1997 Mar,"H02",5019.09,"Concessional","Safety net","H"
"274",1997 Apr,"H02",10969.6,"Concessional","Safety net","H"
"275",1997 May,"H02",33484.91,"Concessional","Safety net","H"
"276",1997 Jun,"H02",71147.03,"Concessional","Safety net","H"
"277",1997 Jul,"H02",134925.8,"Concessional","Safety net","H"
"278",1997 Aug,"H02",183805.05,"Concessional","Safety net","H"
"279",1997 Sep,"H02",254520.7,"Concessional","Safety net","H"
"280",1997 Oct,"H02",311840.4,"Concessional","Safety net","H"
"281",1997 Nov,"H02",333027.01,"Concessional","Safety net","H"
"282",1997 Dec,"H02",485888.24,"Concessional","Safety net","H"
"283",1998 Jan,"H02",418106.31,"Concessional","Safety net","H"
"284",1998 Feb,"H02",30532.4,"Concessional","Safety net","H"
"285",1998 Mar,"H02",4073.24,"Concessional","Safety net","H"
"286",1998 Apr,"H02",9120.9,"Concessional","Safety net","H"
"287",1998 May,"H02",29041.99,"Concessional","Safety net","H"
"288",1998 Jun,"H02",70483.23,"Concessional","Safety net","H"
"289",1998 Jul,"H02",131545.03,"Concessional","Safety net","H"
"290",1998 Aug,"H02",185450.92,"Concessional","Safety net","H"
"291",1998 Sep,"H02",265333.21,"Concessional","Safety net","H"
"292",1998 Oct,"H02",304253.89,"Concessional","Safety net","H"
"293",1998 Nov,"H02",352202.07,"Concessional","Safety net","H"
"294",1998 Dec,"H02",467906.48,"Concessional","Safety net","H"
"295",1999 Jan,"H02",470620.38,"Concessional","Safety net","H"
"296",1999 Feb,"H02",37319.35,"Concessional","Safety net","H"
"297",1999 Mar,"H02",5909.9,"Concessional","Safety net","H"
"298",1999 Apr,"H02",10747.5,"Concessional","Safety net","H"
"299",1999 May,"H02",35148.96,"Concessional","Safety net","H"
"300",1999 Jun,"H02",77151.75,"Concessional","Safety net","H"
"301",1999 Jul,"H02",146071.21,"Concessional","Safety net","H"
"302",1999 Aug,"H02",222569.21,"Concessional","Safety net","H"
"303",1999 Sep,"H02",288872.9,"Concessional","Safety net","H"
"304",1999 Oct,"H02",338205.45,"Concessional","Safety net","H"
"305",1999 Nov,"H02",405162.42,"Concessional","Safety net","H"
"306",1999 Dec,"H02",503821.91,"Concessional","Safety net","H"
"307",2000 Jan,"H02",524855.5,"Concessional","Safety net","H"
"308",2000 Feb,"H02",40549.78,"Concessional","Safety net","H"
"309",2000 Mar,"H02",5222.82,"Concessional","Safety net","H"
"310",2000 Apr,"H02",10960.34,"Concessional","Safety net","H"
"311",2000 May,"H02",37698.53,"Concessional","Safety net","H"
"312",2000 Jun,"H02",87116.27,"Concessional","Safety net","H"
"313",2000 Jul,"H02",172667.33,"Concessional","Safety net","H"
"314",2000 Aug,"H02",240928.99,"Concessional","Safety net","H"
"315",2000 Sep,"H02",280210.13,"Concessional","Safety net","H"
"316",2000 Oct,"H02",384786.38,"Concessional","Safety net","H"
"317",2000 Nov,"H02",422657.67,"Concessional","Safety net","H"
"318",2000 Dec,"H02",493239.45,"Concessional","Safety net","H"
"319",2001 Jan,"H02",534146.52,"Concessional","Safety net","H"
"320",2001 Feb,"H02",23554.03,"Concessional","Safety net","H"
"321",2001 Mar,"H02",6427.49,"Concessional","Safety net","H"
"322",2001 Apr,"H02",17940.78,"Concessional","Safety net","H"
"323",2001 May,"H02",52656.24,"Concessional","Safety net","H"
"324",2001 Jun,"H02",102911.51,"Concessional","Safety net","H"
"325",2001 Jul,"H02",189537.67,"Concessional","Safety net","H"
"326",2001 Aug,"H02",275096.52,"Concessional","Safety net","H"
"327",2001 Sep,"H02",313499.29,"Concessional","Safety net","H"
"328",2001 Oct,"H02",432241.06,"Concessional","Safety net","H"
"329",2001 Nov,"H02",523062.48,"Concessional","Safety net","H"
"330",2001 Dec,"H02",533939.93,"Concessional","Safety net","H"
"331",2002 Jan,"H02",580747.87,"Concessional","Safety net","H"
"332",2002 Feb,"H02",18337.94,"Concessional","Safety net","H"
"333",2002 Mar,"H02",4508.86,"Concessional","Safety net","H"
"334",2002 Apr,"H02",18540.29,"Concessional","Safety net","H"
"335",2002 May,"H02",62164.63,"Concessional","Safety net","H"
"336",2002 Jun,"H02",118371.44,"Concessional","Safety net","H"
"337",2002 Jul,"H02",221478.73,"Concessional","Safety net","H"
"338",2002 Aug,"H02",307009.79,"Concessional","Safety net","H"
"339",2002 Sep,"H02",393938.77,"Concessional","Safety net","H"
"340",2002 Oct,"H02",468045.52,"Concessional","Safety net","H"
"341",2002 Nov,"H02",504395.32,"Concessional","Safety net","H"
"342",2002 Dec,"H02",603744.55,"Concessional","Safety net","H"
"343",2003 Jan,"H02",571132.08,"Concessional","Safety net","H"
"344",2003 Feb,"H02",22377.7,"Concessional","Safety net","H"
"345",2003 Mar,"H02",6375.29,"Concessional","Safety net","H"
"346",2003 Apr,"H02",18552.16,"Concessional","Safety net","H"
"347",2003 May,"H02",61172.38,"Concessional","Safety net","H"
"348",2003 Jun,"H02",127704.81,"Concessional","Safety net","H"
"349",2003 Jul,"H02",221471.63,"Concessional","Safety net","H"
"350",2003 Aug,"H02",294515.69,"Concessional","Safety net","H"
"351",2003 Sep,"H02",401332.49,"Concessional","Safety net","H"
"352",2003 Oct,"H02",509591.27,"Concessional","Safety net","H"
"353",2003 Nov,"H02",514290.18,"Concessional","Safety net","H"
"354",2003 Dec,"H02",643595.7,"Concessional","Safety net","H"
"355",2004 Jan,"H02",624505.05,"Concessional","Safety net","H"
"356",2004 Feb,"H02",36124.35,"Concessional","Safety net","H"
"357",2004 Mar,"H02",6923.47,"Concessional","Safety net","H"
"358",2004 Apr,"H02",20686.38,"Concessional","Safety net","H"
"359",2004 May,"H02",70702.97,"Concessional","Safety net","H"
"360",2004 Jun,"H02",141480.43,"Concessional","Safety net","H"
"361",2004 Jul,"H02",258053.94,"Concessional","Safety net","H"
"362",2004 Aug,"H02",343772.67,"Concessional","Safety net","H"
"363",2004 Sep,"H02",456106,"Concessional","Safety net","H"
"364",2004 Oct,"H02",542424,"Concessional","Safety net","H"
"365",2004 Nov,"H02",614071,"Concessional","Safety net","H"
"366",2004 Dec,"H02",688701,"Concessional","Safety net","H"
"367",2005 Jan,"H02",658029,"Concessional","Safety net","H"
"368",2005 Feb,"H02",32005,"Concessional","Safety net","H"
"369",2005 Mar,"H02",7456,"Concessional","Safety net","H"
"370",2005 Apr,"H02",22169,"Concessional","Safety net","H"
"371",2005 May,"H02",67781,"Concessional","Safety net","H"
"372",2005 Jun,"H02",132757,"Concessional","Safety net","H"
"373",2005 Jul,"H02",249992,"Concessional","Safety net","H"
"374",2005 Aug,"H02",369329,"Concessional","Safety net","H"
"375",2005 Sep,"H02",466955,"Concessional","Safety net","H"
"376",2005 Oct,"H02",509530,"Concessional","Safety net","H"
"377",2005 Nov,"H02",619854,"Concessional","Safety net","H"
"378",2005 Dec,"H02",677268,"Concessional","Safety net","H"
"379",2006 Jan,"H02",710682,"Concessional","Safety net","H"
"380",2006 Feb,"H02",28025,"Concessional","Safety net","H"
"381",2006 Mar,"H02",6314,"Concessional","Safety net","H"
"382",2006 Apr,"H02",14523,"Concessional","Safety net","H"
"383",2006 May,"H02",62294,"Concessional","Safety net","H"
"384",2006 Jun,"H02",129035,"Concessional","Safety net","H"
"385",2006 Jul,"H02",218092,"Concessional","Safety net","H"
"386",2006 Aug,"H02",348096,"Concessional","Safety net","H"
"387",2006 Sep,"H02",394629,"Concessional","Safety net","H"
"388",2006 Oct,"H02",542692,"Concessional","Safety net","H"
"389",2006 Nov,"H02",572833,"Concessional","Safety net","H"
"390",2006 Dec,"H02",633804,"Concessional","Safety net","H"
"391",2007 Jan,"H02",697038,"Concessional","Safety net","H"
"392",2007 Feb,"H02",34013,"Concessional","Safety net","H"
"393",2007 Mar,"H02",8729,"Concessional","Safety net","H"
"394",2007 Apr,"H02",14224,"Concessional","Safety net","H"
"395",2007 May,"H02",56152,"Concessional","Safety net","H"
"396",2007 Jun,"H02",127754,"Concessional","Safety net","H"
"397",2007 Jul,"H02",234830,"Concessional","Safety net","H"
"398",2007 Aug,"H02",358358.12,"Concessional","Safety net","H"
"399",2007 Sep,"H02",438567.3,"Concessional","Safety net","H"
"400",2007 Oct,"H02",506806.64,"Concessional","Safety net","H"
"401",2007 Nov,"H02",606793.21,"Concessional","Safety net","H"
"402",2007 Dec,"H02",663962,"Concessional","Safety net","H"
"403",2008 Jan,"H02",712647,"Concessional","Safety net","H"
"404",2008 Feb,"H02",81152,"Concessional","Safety net","H"
"405",2008 Mar,"H02",12024,"Concessional","Safety net","H"
"406",2008 Apr,"H02",17124,"Concessional","Safety net","H"
"407",2008 May,"H02",58219,"Concessional","Safety net","H"
"408",2008 Jun,"H02",99926,"Concessional","Safety net","H"
"409",1991 Jul,"H02",20178,"General","Co-payments","H"
"410",1991 Aug,"H02",16519,"General","Co-payments","H"
"411",1991 Sep,"H02",14852,"General","Co-payments","H"
"412",1991 Oct,"H02",16867,"General","Co-payments","H"
"413",1991 Nov,"H02",14849,"General","Co-payments","H"
"414",1991 Dec,"H02",15689,"General","Co-payments","H"
"415",1992 Jan,"H02",13809,"General","Co-payments","H"
"416",1992 Feb,"H02",16269,"General","Co-payments","H"
"417",1992 Mar,"H02",19918,"General","Co-payments","H"
"418",1992 Apr,"H02",18546,"General","Co-payments","H"
"419",1992 May,"H02",17313,"General","Co-payments","H"
"420",1992 Jun,"H02",16379,"General","Co-payments","H"
"421",1992 Jul,"H02",19056.29,"General","Co-payments","H"
"422",1992 Aug,"H02",16643.87,"General","Co-payments","H"
"423",1992 Sep,"H02",15207.62,"General","Co-payments","H"
"424",1992 Oct,"H02",17005.55,"General","Co-payments","H"
"425",1992 Nov,"H02",14166.49,"General","Co-payments","H"
"426",1992 Dec,"H02",16521.87,"General","Co-payments","H"
"427",1993 Jan,"H02",13327.08,"General","Co-payments","H"
